Index,Fibonacci_Value
1,1.0
2,1.0
3,2.0
4,3.0
5,5.0
6,8.0
7,13.0
8,21.0
9,34.0
10,55.0
11,89.0
12,144.0
13,233.0
14,377.0
15,610.0
16,987.0
17,1597.0
18,2584.0
19,4181.0
20,6765.0
21,10946.0
22,17711.0
23,28657.0
24,46368.0
25,75025.0
26,121393.0
27,196418.0
28,317811.0
29,514229.0
30,832040.0
31,1346269.0
32,2178309.0
33,3524578.0
34,5702887.0
35,9227465.0
36,14930352.0
37,24157817.0
38,39088169.0
39,63245986.0
40,102334155.0
41,165580141.0
42,267914296.0
43,433494437.0
44,701408733.0
45,1134903170.0
46,1836311903.0
47,2971215073.0
48,4807526976.0
49,7778742049.0
50,12586269025.0
51,20365011074.0
52,32951280099.0
53,53316291173.0
54,86267571272.0
55,139583862445.0
56,225851433717.0
57,365435296162.0
58,591286729879.0
59,956722026041.0
60,1548008755920.0
61,2504730781961.0
62,4052739537881.0
63,6557470319842.0
64,10610209857723.0
65,17167680177565.0
66,27777890035288.0
67,44945570212853.0
68,72723460248141.0
69,117669030460994.0
70,190392490709135.0
71,308061521170129.0
72,498454011879264.0
73,806515533049393.0
74,1304969544928657.0
75,2111485077978050.0
76,3416454622906707.0
77,5527939700884757.0
78,8944394323791464.0
79,1.447233402467622e+16
80,2.3416728348467684e+16
81,3.78890623731439e+16
82,6.130579072161158e+16
83,9.919485309475549e+16
84,1.6050064381636707e+17
85,2.5969549691112256e+17
86,4.2019614072748966e+17
87,6.798916376386122e+17
88,1.1000877783661019e+18
89,1.779979416004714e+18
90,2.880067194370816e+18
91,4.66004661037553e+18
92,7.540113804746346e+18
93,1.2200160415121877e+19
94,1.9740274219868226e+19
95,3.19404346349901e+19
96,5.168070885485833e+19
97,8.362114348984843e+19
98,1.3530185234470676e+20
99,2.189229958345552e+20
100,3.54224848179262e+20
101,5.731478440138172e+20
102,9.273726921930792e+20
103,1.5005205362068963e+21
104,2.4278932283999755e+21
105,3.9284137646068717e+21
106,6.356306993006848e+21
107,1.028472075761372e+22
108,1.6641027750620568e+22
109,2.6925748508234288e+22
110,4.356677625885486e+22
111,7.049252476708914e+22
112,1.14059301025944e+23
113,1.8455182579303315e+23
114,2.9861112681897715e+23
115,4.831629526120103e+23
116,7.817740794309875e+23
117,1.2649370320429978e+24
118,2.0467111114739851e+24
119,3.3116481435169827e+24
120,5.358359254990968e+24
121,8.670007398507951e+24
122,1.402836665349892e+25
123,2.269837405200687e+25
124,3.6726740705505786e+25
125,5.942511475751265e+25
126,9.615185546301844e+25
127,1.555769702205311e+26
128,2.5172882568354952e+26
129,4.0730579590408064e+26
130,6.590346215876301e+26
131,1.0663404174917107e+27
132,1.7253750390793408e+27
133,2.791715456571052e+27
134,4.5170904956503927e+27
135,7.308805952221445e+27
136,1.1825896447871837e+28
137,1.9134702400093282e+28
138,3.096059884796512e+28
139,5.009530124805841e+28
140,8.105590009602353e+28
141,1.3115120134408193e+29
142,2.1220710144010545e+29
143,3.4335830278418734e+29
144,5.5556540422429276e+29
145,8.989237070084801e+29
146,1.454489111232773e+30
147,2.353412818241253e+30
148,3.807901929474026e+30
149,6.161314747715279e+30
150,9.969216677189305e+30
151,1.6130531424904583e+31
152,2.6099748102093888e+31
153,4.223027952699847e+31
154,6.8330027629092365e+31
155,1.1056030715609085e+32
156,1.788903347851832e+32
157,2.8945064194127406e+32
158,4.683409767264573e+32
159,7.577916186677313e+32
160,1.2261325953941887e+33
161,1.98392421406192e+33
162,3.2100568094561087e+33
163,5.193981023518028e+33
164,8.404037832974137e+33
165,1.3598018856492165e+34
166,2.20020566894663e+34
167,3.5600075545958467e+34
168,5.760213223542477e+34
169,9.320220778138323e+34
170,1.50804340016808e+35
171,2.4400654779819122e+35
172,3.9481088781499925e+35
173,6.388174356131905e+35
174,1.0336283234281898e+36
175,1.6724457590413803e+36
176,2.70607408246957e+36
177,4.37851984151095e+36
178,7.08459392398052e+36
179,1.146311376549147e+37
180,1.854770768947199e+37
181,3.001082145496346e+37
182,4.855852914443544e+37
183,7.85693505993989e+37
184,1.2712787974383434e+38
185,2.0569723034323324e+38
186,3.328251100870676e+38
187,5.385223404303009e+38
188,8.713474505173684e+38
189,1.409869790947669e+39
190,2.2812172414650375e+39
191,3.691087032412707e+39
192,5.972304273877745e+39
193,9.663391306290452e+39
194,1.5635695580168196e+40
195,2.529908688645865e+40
196,4.0934782466626846e+40
197,6.623386935308549e+40
198,1.0716865181971233e+41
199,1.7340252117279783e+41
200,2.8057117299251016e+41
201,4.53973694165308e+41
202,7.34544867157818e+41
203,1.188518561323126e+42
204,1.923063428480944e+42
205,3.11158198980407e+42
206,5.034645418285014e+42
207,8.146227408089083e+42
208,1.3180872826374099e+43
209,2.1327100234463182e+43
210,3.450797306083728e+43
211,5.583507329530046e+43
212,9.034304635613775e+43
213,1.4617811965143821e+44
214,2.3652116600757594e+44
215,3.826992856590142e+44
216,6.192204516665901e+44
217,1.0019197373256042e+45
218,1.6211401889921942e+45
219,2.6230599263177984e+45
220,4.2442001153099927e+45
221,6.86726004162779e+45
222,1.1111460156937784e+46
223,1.7978720198565574e+46
224,2.9090180355503355e+46
225,4.706890055406893e+46
226,7.615908090957229e+46
227,1.2322798146364122e+47
228,1.993870623732135e+47
229,3.2261504383685474e+47
230,5.2200210621006825e+47
231,8.44617150046923e+47
232,1.3666192562569911e+48
233,2.2112364063039142e+48
234,3.577855662560905e+48
235,5.7890920688648195e+48
236,9.366947731425724e+48
237,1.5156039800290544e+49
238,2.452298753171627e+49
239,3.967902733200681e+49
240,6.420201486372308e+49
241,1.0388104219572989e+50
242,1.6808305705945297e+50
243,2.7196409925518287e+50
244,4.400471563146358e+50
245,7.120112555698187e+50
246,1.1520584118844544e+51
247,1.864069667454273e+51
248,3.016128079338727e+51
249,4.880197746793e+51
250,7.896325826131728e+51
251,1.2776523572924728e+52
252,2.0672849399056455e+52
253,3.344937297198118e+52
254,5.412222237103764e+52
255,8.757159534301882e+52
256,1.4169381771405647e+53
257,2.2926541305707528e+53
258,3.7095923077113174e+53
259,6.002246438282071e+53
260,9.711838745993388e+53
261,1.571408518427546e+54
262,2.5425923930268848e+54
263,4.114000911454431e+54
264,6.656593304481316e+54
265,1.0770594215935747e+55
266,1.7427187520417062e+55
267,2.819778173635281e+55
268,4.562496925676987e+55
269,7.382275099312268e+55
270,1.1944772024989255e+56
271,1.9327047124301523e+56
272,3.1271819149290778e+56
273,5.05988662735923e+56
274,8.187068542288308e+56
275,1.3246955169647538e+57
276,2.1434023711935847e+57
277,3.4680978881583385e+57
278,5.611500259351923e+57
279,9.07959814751026e+57
280,1.4691098406862182e+58
281,2.3770696554372443e+58
282,3.846179496123462e+58
283,6.223249151560707e+58
284,1.0069428647684168e+59
285,1.6292677799244873e+59
286,2.636210644692904e+59
287,4.265478424617391e+59
288,6.901689069310295e+59
289,1.1167167493927686e+60
290,1.806885656323798e+60
291,2.923602405716567e+60
292,4.7304880620403654e+60
293,7.654090467756932e+60
294,1.2384578529797298e+61
295,2.003866899755423e+61
296,3.242324752735153e+61
297,5.246191652490576e+61
298,8.488516405225729e+61
299,1.3734708057716305e+62
300,2.2223224462942035e+62
301,3.5957932520658337e+62
302,5.818115698360037e+62
303,9.41390895042587e+62
304,1.5232024648785907e+63
305,2.4645933599211777e+63
306,3.987795824799768e+63
307,6.452389184720946e+63
308,1.0440185009520713e+64
309,1.6892574194241658e+64
310,2.733275920376237e+64
311,4.422533339800403e+64
312,7.15580926017664e+64
313,1.1578342599977044e+65
314,1.8734151860153683e+65
315,3.0312494460130726e+65
316,4.90466463202844e+65
317,7.9359140780415135e+65
318,1.2840578710069954e+66
319,2.0776492788111467e+66
320,3.361707149818142e+66
321,5.439356428629289e+66
322,8.801063578447432e+66
323,1.424042000707672e+67
324,2.3041483585524152e+67
325,3.728190359260087e+67
326,6.032338717812503e+67
327,9.760529077072589e+67
328,1.579286779488509e+68
329,2.555339687195768e+68
330,4.134626466684277e+68
331,6.689966153880045e+68
332,1.0824592620564322e+69
333,1.751455877444437e+69
334,2.833915139500869e+69
335,4.5853710169453055e+69
336,7.419286156446174e+69
337,1.200465717339148e+70
338,1.9423943329837654e+70
339,3.1428600503229136e+70
340,5.085254383306679e+70
341,8.228114433629592e+70
342,1.331336881693627e+71
343,2.1541483250565862e+71
344,3.485485206750213e+71
345,5.6396335318068e+71
346,9.125118738557013e+71
347,1.4764752270363813e+72
348,2.3889871008920825e+72
349,3.865462327928464e+72
350,6.254449428820547e+72
351,1.0119911756749011e+73
352,1.637436118556956e+73
353,2.649427294231857e+73
354,4.2868634127888125e+73
355,6.93629070702067e+73
356,1.1223154119809483e+74
357,1.8159444826830153e+74
358,2.9382598946639633e+74
359,4.754204377346978e+74
360,7.692464272010942e+74
361,1.244666864935792e+75
362,2.013913292136886e+75
363,3.258580157072678e+75
364,5.272493449209564e+75
365,8.531073606282242e+75
366,1.3803567055491806e+76
367,2.2334640661774048e+76
368,3.613820771726585e+76
369,5.84728483790399e+76
370,9.461105609630574e+76
371,1.5308390447534564e+77
372,2.476949605716514e+77
373,4.0077886504699705e+77
374,6.484738256186484e+77
375,1.0492526906656455e+78
376,1.697726516284294e+78
377,2.7469792069499394e+78
378,4.444705723234234e+78
379,7.191684930184173e+78
380,1.1636390653418406e+79
381,1.882807558360258e+79
382,3.046446623702099e+79
383,4.9292541820623566e+79
384,7.975700805764455e+79
385,1.290495498782681e+80
386,2.0880655793591266e+80
387,3.3785610781418077e+80
388,5.466626657500934e+80
389,8.845187735642742e+80
390,1.4311814393143676e+81
391,2.315700212878642e+81
392,3.7468816521930098e+81
393,6.062581865071651e+81
394,9.809463517264662e+81
395,1.5872045382336313e+82
396,2.5681508899600975e+82
397,4.155355428193729e+82
398,6.723506318153826e+82
399,1.0878861746347554e+83
400,1.760236806450138e+83
401,2.848122981084893e+83
402,4.608359787535031e+83
403,7.456482768619924e+83
404,1.2064842556154955e+84
405,1.952132532477488e+84
406,3.1586167880929834e+84
407,5.110749320570471e+84
408,8.269366108663455e+84
409,1.3380115429233926e+85
410,2.164948153789738e+85
411,3.5029596967131306e+85
412,5.667907850502869e+85
413,9.170867547216e+85
414,1.483877539771887e+86
415,2.400964294493487e+86
416,3.884841834265374e+86
417,6.285806128758862e+86
418,1.0170647963024235e+87
419,1.6456454091783097e+87
420,2.662710205480733e+87
421,4.308355614659043e+87
422,6.971065820139776e+87
423,1.127942143479882e+88
424,1.8250487254938595e+88
425,2.9529908689737415e+88
426,4.7780395944676006e+88
427,7.731030463441342e+88
428,1.2509070057908943e+89
429,2.0240100521350286e+89
430,3.274917057925923e+89
431,5.298927110060952e+89
432,8.573844167986874e+89
433,1.3872771278047826e+90
434,2.24466154460347e+90
435,3.631938672408253e+90
436,5.876600217011723e+90
437,9.508538889419975e+90
438,1.5385139106431697e+91
439,2.489367799585167e+91
440,4.0278817102283365e+91
441,6.5172495098135036e+91
442,1.054513122004184e+92
443,1.7062380729855341e+92
444,2.760751194989718e+92
445,4.466989267975252e+92
446,7.22774046296497e+92
447,1.1694729730940222e+93
448,1.8922470193905192e+93
449,3.0617199924845414e+93
450,4.95396701187506e+93
451,8.015687004359602e+93
452,1.2969654016234662e+94
453,2.0985341020594266e+94
454,3.395499503682893e+94
455,5.4940336057423194e+94
456,8.889533109425212e+94
457,1.438356671516753e+95
458,2.327309982459274e+95
459,3.765666653976027e+95
460,6.092976636435301e+95
461,9.858643290411328e+95
462,1.5951619926846628e+96
463,2.5810263217257956e+96
464,4.1761883144104584e+96
465,6.7572146361362535e+96
466,1.0933402950546712e+97
467,1.7690617586682965e+97
468,2.8624020537229677e+97
469,4.631463812391264e+97
470,7.493865866114232e+97
471,1.2125329678505497e+98
472,1.961919554461973e+98
473,3.1744525223125226e+98
474,5.1363720767744955e+98
475,8.310824599087018e+98
476,1.3447196675861514e+99
477,2.175802127494853e+99
478,3.520521795081005e+99
479,5.696323922575858e+99
480,9.216845717656862e+99
481,1.491316964023272e+100
482,2.413001535788958e+100
483,3.90431849981223e+100
484,6.317320035601188e+100
485,1.0221638535413418e+101
486,1.6538958571014605e+101
487,2.6760597106428023e+101
488,4.329955567744263e+101
489,7.006015278387065e+101
490,1.1335970846131328e+102
491,1.8341986124518392e+102
492,2.967795697064972e+102
493,4.801994309516812e+102
494,7.769790006581784e+102
495,1.2571784316098597e+103
496,2.034157432268038e+103
497,3.2913358638778977e+103
498,5.325493296145936e+103
499,8.616829160023833e+103
500,1.394232245616977e+104
501,2.2559151616193602e+104
502,3.6501474072363375e+104
503,5.906062568855698e+104
504,9.556209976092036e+104
505,1.5462272544947735e+105
506,2.501848252103977e+105
507,4.0480755065987505e+105
508,6.549923758702727e+105
509,1.0597999265301477e+106
510,1.7147923024004204e+106
511,2.774592228930568e+106
512,4.4893845313309884e+106
513,7.263976760261557e+106
514,1.1753361291592545e+107
515,1.9017338051854102e+107
516,3.0770699343446646e+107
517,4.978803739530075e+107
518,8.055873673874739e+107
519,1.3034677413404814e+108
520,2.1090551087279553e+108
521,3.412522850068437e+108
522,5.521577958796393e+108
523,8.93410080886483e+108
524,1.4455678767661223e+109
525,2.3389779576526055e+109
526,3.784545834418728e+109
527,6.123523792071334e+109
528,9.908069626490062e+109
529,1.6031593418561396e+110
530,2.5939663045051458e+110
531,4.197125646361285e+110
532,6.791091950866431e+110
533,1.0988217597227716e+111
534,1.7779309548094147e+111
535,2.8767527145321864e+111
536,4.654683669341601e+111
537,7.531436383873787e+111
538,1.218612005321539e+112
539,1.9717556437089175e+112
540,3.1903676490304564e+112
541,5.162123292739374e+112
542,8.35249094176983e+112
543,1.3514614234509204e+113
544,2.1867105176279034e+113
545,3.538171941078824e+113
546,5.724882458706727e+113
547,9.263054399785552e+113
548,1.498793685849228e+114
549,2.4250991258277832e+114
550,3.923892811677011e+114
551,6.348991937504794e+114
552,1.0272884749181806e+115
553,1.6621876686686599e+115
554,2.6894761435868405e+115
555,4.3516638122555e+115
556,7.041139955842341e+115
557,1.1392803768097841e+116
558,1.8433943723940184e+116
559,2.9826747492038025e+116
560,4.826069121597821e+116
561,7.808743870801623e+116
562,1.2634812992399444e+117
563,2.0443556863201068e+117
564,3.307836985560051e+117
565,5.352192671880158e+117
566,8.660029657440209e+117
567,1.4012222329320367e+118
568,2.2672251986760575e+118
569,3.668447431608094e+118
570,5.935672630284151e+118
571,9.604120061892246e+118
572,1.5539792692176397e+119
573,2.514391275406864e+119
574,4.0683705446245036e+119
575,6.582761820031368e+119
576,1.065113236465587e+120
577,1.7233894184687237e+120
578,2.788502654934311e+120
579,4.5118920734030345e+120
580,7.300394728337345e+120
581,1.181228680174038e+121
582,1.9112681530077724e+121
583,3.0924968331818106e+121
584,5.003764986189583e+121
585,8.096261819371394e+121
586,1.3100026805560978e+122
587,2.119628862493237e+122
588,3.429631543049335e+122
589,5.549260405542572e+122
590,8.978891948591907e+122
591,1.452815235413448e+123
592,2.3507044302726385e+123
593,3.803519665686087e+123
594,6.154224095958725e+123
595,9.957743761644812e+123
596,1.6111967857603536e+124
597,2.6069711619248347e+124
598,4.2181679476851883e+124
599,6.825139109610023e+124
600,1.1043307057295211e+125
601,1.7868446166905234e+125
602,2.8911753224200445e+125
603,4.678019939110568e+125
604,7.569195261530612e+125
605,1.224721520064118e+126
606,1.981641046217179e+126
607,3.206362566281297e+126
608,5.188003612498476e+126
609,8.394366178779773e+126
610,1.358236979127825e+127
611,2.1976735970058023e+127
612,3.5559105761336274e+127
613,5.75358417313943e+127
614,9.309494749273056e+127
615,1.5063078922412486e+128
616,2.437257367168554e+128
617,3.943565259409803e+128
618,6.380822626578357e+128
619,1.032438788598816e+129
620,1.6705210512566517e+129
621,2.7029598398554676e+129
622,4.3734808911121193e+129
623,7.076440730967588e+129
624,1.1449921622079707e+130
625,1.8526362353047294e+130
626,2.9976283975127e+130
627,4.85026463281743e+130
628,7.84789303033013e+130
629,1.269815766314756e+131
630,2.054605069347769e+131
631,3.324420835662525e+131
632,5.379025905010295e+131
633,8.70344674067282e+131
634,1.4082472645683115e+132
635,2.2785919386355933e+132
636,3.6868392032039045e+132
637,5.965431141839498e+132
638,9.652270345043403e+132
639,1.5617701486882901e+133
640,2.52699718319263e+133
641,4.08876733188092e+133
642,6.61576451507355e+133
643,1.070453184695447e+134
644,1.732029636202802e+134
645,2.802482820898249e+134
646,4.534512457101051e+134
647,7.3369952779993e+134
648,1.1871507735100351e+135
649,1.920850301309965e+135
650,3.1080010748200005e+135
651,5.0288513761299655e+135
652,8.136852450949967e+135
653,1.3165703827079932e+136
654,2.1302556278029898e+136
655,3.446826010510983e+136
656,5.577081638313973e+136
657,9.023907648824956e+136
658,1.460098928713893e+137
659,2.3624896935963886e+137
660,3.822588622310282e+137
661,6.1850783159066705e+137
662,1.0007666938216952e+138
663,1.6192745254123623e+138
664,2.6200412192340575e+138
665,4.2393157446464195e+138
666,6.859356963880477e+138
667,1.1098672708526896e+139
668,1.7958029672407375e+139
669,2.905670238093427e+139
670,4.7014732053341643e+139
671,7.607143443427591e+139
672,1.2308616648761756e+140
673,1.9915760092189344e+140
674,3.22243767409511e+140
675,5.2140136833140446e+140
676,8.436451357409155e+140
677,1.36504650407232e+141
678,2.2086916398132357e+141
679,3.573738143885556e+141
680,5.782429783698791e+141
681,9.356167927584346e+141
682,1.513859771128314e+142
683,2.4494765638867485e+142
684,3.9633363350150624e+142
685,6.412812898901811e+142
686,1.0376149233916874e+143
687,1.6788962132818685e+143
688,2.716511136673556e+143
689,4.395407349955425e+143
690,7.111918486628981e+143
691,1.1507325836584407e+144
692,1.861924432321339e+144
693,3.0126570159797796e+144
694,4.8745814483011185e+144
695,7.887238464280898e+144
696,1.2761819912582017e+145
697,2.0649058376862915e+145
698,3.3410878289444935e+145
699,5.405993666630785e+145
700,8.747081495575278e+145
701,1.4153075162206063e+146
702,2.2900156657781344e+146
703,3.7053231819987407e+146
704,5.995338847776875e+146
705,9.700662029775616e+146
706,1.5696000877552492e+147
707,2.5396662907328107e+147
708,4.10926637848806e+147
709,6.648932669220871e+147
710,1.0758199047708932e+148
711,1.7407131716929801e+148
712,2.8165330764638734e+148
713,4.5572462481568536e+148
714,7.373779324620727e+148
715,1.193102557277758e+149
716,1.9304804897398307e+149
717,3.1235830470175887e+149
718,5.054063536757419e+149
719,8.177646583775008e+149
720,1.3231710120532428e+150
721,2.1409356704307436e+150
722,3.464106682483987e+150
723,5.60504235291473e+150
724,9.069149035398718e+150
725,1.4674191388313447e+151
726,2.3743340423712165e+151
727,3.841753181202561e+151
728,6.216087223573778e+151
729,1.0057840404776338e+152
730,1.6273927628350117e+152
731,2.6331768033126457e+152
732,4.260569566147657e+152
733,6.893746369460303e+152
734,1.115431593560796e+153
735,1.8048062305068262e+153
736,2.920237824067622e+153
737,4.725044054574448e+153
738,7.64528187864207e+153
739,1.2370325933216519e+154
740,2.001560781185859e+154
741,3.238593374507511e+154
742,5.24015415569337e+154
743,8.478747530200881e+154
744,1.3718901685894252e+155
745,2.219764921609513e+155
746,3.5916550901989383e+155
747,5.811420011808452e+155
748,9.403075102007391e+155
749,1.5214495113815843e+156
750,2.4617570215823236e+156
751,3.983206532963908e+156
752,6.444963554546232e+156
753,1.042817008751014e+157
754,1.6873133642056372e+157
755,2.7301303729566514e+157
756,4.4174437371622886e+157
757,7.147574110118939e+157
758,1.1565017847281227e+158
759,1.8712591957400167e+158
760,3.0277609804681397e+158
761,4.899020176208156e+158
762,7.926781156676296e+158
763,1.2825801332884451e+159
764,2.075258248956075e+159
765,3.35783838224452e+159
766,5.433096631200595e+159
767,8.790935013445115e+159
768,1.422403164464571e+160
769,2.3014966658090826e+160
770,3.723899830273653e+160
771,6.025396496082736e+160
772,9.749296326356389e+160
773,1.5774692822439125e+161
774,2.552398914879551e+161
775,4.1298681971234637e+161
776,6.682267112003014e+161
777,1.0812135309126478e+162
778,1.7494402421129492e+162
779,2.8306537730255968e+162
780,4.580094015138546e+162
781,7.410747788164143e+162
782,1.1990841803302688e+163
783,1.940158959146683e+163
784,3.1392431394769516e+163
785,5.0794020986236347e+163
786,8.218645238100586e+163
787,1.329804733672422e+164
788,2.1516692574824805e+164
789,3.4814739911549024e+164
790,5.633143248637383e+164
791,9.114617239792286e+164
792,1.474776048842967e+165
793,2.3862377728221955e+165
794,3.8610138216651624e+165
795,6.2472515944873575e+165
796,1.010826541615252e+166
797,1.635551701063988e+166
798,2.64637824267924e+166
799,4.281929943743228e+166
800,6.928308186422468e+166
801,1.1210238130165696e+167
802,1.8138546316588163e+167
803,2.934878444675386e+167
804,4.748733076334203e+167
805,7.683611521009589e+167
806,1.2432344597343791e+168
807,2.011595611835338e+168
808,3.2548300715697173e+168
809,5.266425683405056e+168
810,8.521255754974774e+168
811,1.378768143837983e+169
812,2.2308937193354602e+169
813,3.6096618631734433e+169
814,5.8405555825089035e+169
815,9.450217445682346e+169
816,1.529077302819125e+170
817,2.47409904738736e+170
818,4.0031763502064847e+170
819,6.477275397593844e+170
820,1.048045174780033e+171
821,1.6957727145394175e+171
822,2.7438178893194507e+171
823,4.439590603858868e+171
824,7.183408493178319e+171
825,1.1622999097037188e+172
826,1.8806407590215506e+172
827,3.0429406687252694e+172
828,4.92358142774682e+172
829,7.96652209647209e+172
830,1.289010352421891e+173
831,2.0856625620690997e+173
832,3.3746729144909907e+173
833,5.46033547656009e+173
834,8.83500839105108e+173
835,1.429534386761117e+174
836,2.313035225866225e+174
837,3.742569612627342e+174
838,6.055604838493567e+174
839,9.79817445112091e+174
840,1.5853779289614475e+175
841,2.5651953740735385e+175
842,4.150573303034986e+175
843,6.715768677108524e+175
844,1.0866341980143511e+176
845,1.7582110657252035e+176
846,2.8448452637395545e+176
847,4.603056329464758e+176
848,7.447901593204313e+176
849,1.205095792266907e+177
850,1.9498859515873383e+177
851,3.1549817438542456e+177
852,5.104867695441584e+177
853,8.25984943929583e+177
854,1.3364717134737413e+178
855,2.1624566574033242e+178
856,3.498928370877066e+178
857,5.6613850282803905e+178
858,9.160313399157456e+178
859,1.4821698427437848e+179
860,2.3982011826595303e+179
861,3.880371025403315e+179
862,6.278572208062845e+179
863,1.0158943233466161e+180
864,1.6437515441529006e+180
865,2.6596458674995166e+180
866,4.303397411652417e+180
867,6.963043279151934e+180
868,1.126644069080435e+181
869,1.8229483969956285e+181
870,2.9495924660760636e+181
871,4.772540863071692e+181
872,7.722133329147755e+181
873,1.2494674192219447e+182
874,2.0216807521367203e+182
875,3.271148171358665e+182
876,5.2928289234953855e+182
877,8.56397709485405e+182
878,1.3856806018349436e+183
879,2.2420783113203486e+183
880,3.627758913155292e+183
881,5.869837224475641e+183
882,9.497596137630933e+183
883,1.5367433362106574e+184
884,2.4865029499737505e+184
885,4.023246286184408e+184
886,6.509749236158159e+184
887,1.0532995522342567e+185
888,1.7042744758500726e+185
889,2.757574028084329e+185
890,4.461848503934402e+185
891,7.219422532018732e+185
892,1.1681271035953133e+186
893,1.8900693567971865e+186
894,3.0581964603925e+186
895,4.948265817189686e+186
896,8.006462277582186e+186
897,1.2954728094771872e+187
898,2.096119037235406e+187
899,3.391591846712593e+187
900,5.487710883947999e+187
901,8.879302730660591e+187
902,1.436701361460859e+188
903,2.324631634526918e+188
904,3.761332995987777e+188
905,6.085964630514695e+188
906,9.847297626502471e+188
907,1.5933262257017168e+189
908,2.578055988351964e+189
909,4.1713822140536807e+189
910,6.749438202405644e+189
911,1.0920820416459324e+190
912,1.7670258618864968e+190
913,2.859107903532429e+190
914,4.626133765418926e+190
915,7.485241668951356e+190
916,1.211137543437028e+191
917,1.9596617103321636e+191
918,3.170799253769192e+191
919,5.130460964101355e+191
920,8.301260217870547e+191
921,1.34317211819719e+192
922,2.1732981399842448e+192
923,3.5164702581814347e+192
924,5.689768398165679e+192
925,9.206238656347114e+192
926,1.4896007054512793e+193
927,2.4102245710859905e+193
928,3.89982527653727e+193
929,6.310049847623261e+193
930,1.020987512416053e+194
931,1.651992497178379e+194
932,2.6729800095944324e+194
933,4.324972506772811e+194
934,6.997952516367244e+194
935,1.1322925023140055e+195
936,1.8320877539507298e+195
937,2.964380256264735e+195
938,4.796468010215465e+195
939,7.7608482664802e+195
940,1.2557316276695666e+196
941,2.0318164543175863e+196
942,3.287548081987153e+196
943,5.31936453630474e+196
944,8.606912618291892e+196
945,1.3926277154596632e+197
946,2.2533189772888524e+197
947,3.645946692748516e+197
948,5.899265670037368e+197
949,9.545212362785885e+197
950,1.5444478032823252e+198
951,2.4989690395609137e+198
952,4.0434168428432386e+198
953,6.542385882404152e+198
954,1.058580272524739e+199
955,1.7128188607651542e+199
956,2.771399133289893e+199
957,4.484217994055047e+199
958,7.25561712734494e+199
959,1.1739835121399988e+200
960,1.8995452248744928e+200
961,3.073528737014492e+200
962,4.9730739618889846e+200
963,8.046602698903476e+200
964,1.301967666079246e+201
965,2.1066279359695935e+201
966,3.4085956020488395e+201
967,5.515223538018433e+201
968,8.923819140067273e+201
969,1.4439042678085704e+202
970,2.3362861818152977e+202
971,3.780190449623868e+202
972,6.116476631439166e+202
973,9.896667081063034e+202
974,1.6013143712502202e+203
975,2.5909810793565236e+203
976,4.192295450606744e+203
977,6.783276529963268e+203
978,1.0975571980570012e+204
979,1.775884851053328e+204
980,2.873442049110329e+204
981,4.649326900163657e+204
982,7.522768949273986e+204
983,1.2172095849437642e+205
984,1.9694864798711628e+205
985,3.186696064814927e+205
986,5.15618254468609e+205
987,8.342878609501017e+205
988,1.3499061154187107e+206
989,2.1841939763688122e+206
990,3.534100091787523e+206
991,5.718294068156335e+206
992,9.252394159943859e+206
993,1.4970688228100194e+207
994,2.4223082388044054e+207
995,3.919377061614425e+207
996,6.34168530041883e+207
997,1.0261062362033255e+208
998,1.6602747662452085e+208
999,2.686381002448534e+208
1000,4.346655768693743e+208
